energy (MeV),pC/MeV,pC/MeV norm,CDF
9.319993169,377.0787024,0.000505615,0.674368927
9.331160945,376.5477854,0.000504903,0.67487383
9.342328721,376.0176563,0.000504193,0.675378023
9.353496498,375.4883138,0.000503483,0.675881505
9.364664274,374.9597567,0.000502774,0.67638428
9.37583205,374.431984,0.000502066,0.676886346
9.386999826,373.9049944,0.00050136,0.677387706
9.398167602,373.3787867,0.000500654,0.67788836
9.409335378,372.8533598,0.00049995,0.67838831
9.420503154,372.3287124,0.000499246,0.678887556
9.43167093,371.8048434,0.000498544,0.6793861
9.442838706,371.2817517,0.000497842,0.679883942
9.454006482,370.7594361,0.000497142,0.680381084
9.465174258,370.2378953,0.000496443,0.680877527
9.476342034,369.7171283,0.000495744,0.681373271
9.48750981,369.1971338,0.000495047,0.681868318
9.498677586,368.6779108,0.000494351,0.682362669
9.509845362,368.159458,0.000493656,0.682856325
9.521013139,367.6417743,0.000492962,0.683349287
9.532180915,367.1248585,0.000492268,0.683841555
9.543348691,366.6087095,0.000491576,0.684333131
9.554516467,366.0933261,0.000490885,0.684824017
9.565684243,365.5787072,0.000490195,0.685314212
9.576852019,365.0648516,0.000489506,0.685803718
9.588019795,364.5517582,0.000488818,0.686292537
9.599187571,364.0394258,0.000488131,0.686780668
9.610355347,363.5278533,0.000487445,0.687268113
9.621523123,363.0170395,0.00048676,0.687754874
9.632690899,362.5069833,0.000486076,0.68824095
9.643858675,361.9976836,0.000485394,0.688726344
9.655026451,361.4891391,0.000484712,0.689211055
9.666194227,360.9813489,0.000484031,0.689695086
9.677362003,360.4743117,0.000483351,0.690178437
9.68852978,359.9680265,0.000482672,0.690661109
9.699697556,359.462492,0.000481994,0.691143103
9.710865332,358.9577071,0.000481317,0.691624421
9.722033108,358.4536708,0.000480642,0.692105062
9.733200884,357.9503819,0.000479967,0.692585029
9.74436866,357.4478393,0.000479293,0.693064322
9.755536436,356.9460418,0.00047862,0.693542942
9.766704212,356.4449884,0.000477948,0.69402089
9.777871988,355.9446778,0.000477277,0.694498167
9.789039764,355.4451091,0.000476607,0.694974774
9.80020754,354.9462811,0.000475939,0.695450713
9.811375316,354.4481926,0.000475271,0.695925984
9.822543092,353.9508425,0.000474604,0.696400587
9.833710868,353.4542298,0.000473938,0.696874525
9.844878644,352.9583534,0.000473273,0.697347798
9.85604642,352.463212,0.000472609,0.697820407
9.867214197,351.9688047,0.000471946,0.698292353
9.878381973,351.4751303,0.000471284,0.698763638
9.889549749,350.9821878,0.000470623,0.699234261
9.900717525,350.4899759,0.000469963,0.699704224
9.911885301,349.9984936,0.000469304,0.700173528
9.923053077,349.5077399,0.000468646,0.700642174
9.934220853,349.0177136,0.000467989,0.701110163
9.945388629,348.5284136,0.000467333,0.701577496
9.956556405,348.0398388,0.000466678,0.702044174
9.967724181,347.5519882,0.000466024,0.702510198
9.978891957,347.0648607,0.000465371,0.702975568
9.990059733,346.5784551,0.000464718,0.703440287
10.00122751,346.0927704,0.000464067,0.703904354
10.01239529,345.6078055,0.000463417,0.704367771
10.02356306,345.1235593,0.000462767,0.704830538
10.03473084,344.6400307,0.000462119,0.705292657
10.04589861,344.1572187,0.000461472,0.705754129
10.05706639,343.6751222,0.000460825,0.706214954
10.06823417,343.19374,0.00046018,0.706675134
10.07940194,342.7130712,0.000459535,0.70713467
10.09056972,342.2331147,0.000458892,0.707593561
10.10173749,341.7538693,0.000458249,0.708051811
10.11290527,341.2753341,0.000457608,0.708509418
10.12407305,340.7975078,0.000456967,0.708966385
10.13524082,340.3203896,0.000456327,0.709422712
10.1464086,339.8439783,0.000455688,0.7098784
10.15757637,339.3682728,0.00045505,0.71033345
10.16874415,338.8932721,0.000454413,0.710787864
10.17991193,338.4189752,0.000453777,0.711241641
10.1910797,337.9453809,0.000453142,0.711694784
10.20224748,337.4724882,0.000452508,0.712147292
10.21341525,337.0002961,0.000451875,0.712599167
10.22458303,336.5288035,0.000451243,0.71305041
10.23575081,336.0580093,0.000450612,0.713501022
10.24691858,335.5879126,0.000449981,0.713951004
10.25808636,335.1185122,0.000449352,0.714400356
10.26925413,334.6498071,0.000448724,0.714849079
10.28042191,334.1817963,0.000448096,0.715297175
10.29158969,333.7144786,0.000447469,0.715744644
10.30275746,333.2478532,0.000446844,0.716191488
10.31392524,332.7819189,0.000446219,0.716637707
10.32509302,332.3166747,0.000445595,0.717083302
10.33626079,331.8521195,0.000444972,0.717528274
10.34742857,331.3882524,0.00044435,0.717972624
10.35859634,330.9250722,0.000443729,0.718416353
10.36976412,330.462578,0.000443109,0.718859462
10.3809319,330.0007688,0.00044249,0.719301952
10.39209967,329.5396434,0.000441871,0.719743824
10.40326745,329.0792008,0.000441254,0.720185078
10.41443522,328.6194402,0.000440638,0.720625715
10.425603,328.1603603,0.000440022,0.721065737
10.43677078,327.7019602,0.000439407,0.721505144
10.44793855,327.2442389,0.000438794,0.721943938
10.45910633,326.7871953,0.000438181,0.722382119
10.4702741,326.3308284,0.000437569,0.722819687
10.48144188,325.8751373,0.000436958,0.723256645
10.49260966,325.4201208,0.000436348,0.723692993
10.50377743,324.965778,0.000435738,0.724128731
10.51494521,324.5121079,0.00043513,0.724563861
10.52611298,324.0591094,0.000434523,0.724998384
10.53728076,323.6067816,0.000433916,0.7254323
10.54844854,323.1551234,0.000433311,0.725865611
10.55961631,322.7041339,0.000432706,0.726298317
10.57078409,322.2538119,0.000432102,0.726730419
10.58195186,321.8041566,0.000431499,0.727161918
10.59311964,321.3551669,0.000430897,0.727592815
10.60428742,320.9068418,0.000430296,0.728023111
10.61545519,320.4591803,0.000429696,0.728452806
10.62662297,320.0121815,0.000429096,0.728881903
10.63779075,319.5658442,0.000428498,0.729310401
10.64895852,319.1201676,0.0004279,0.729738301
10.6601263,318.6751506,0.000427303,0.730165604
10.67129407,318.2307923,0.000426708,0.730592312
10.68246185,317.7870916,0.000426113,0.731018425
10.69362963,317.3440476,0.000425519,0.731443943
10.7047974,316.9016592,0.000424925,0.731868869
10.71596518,316.4599256,0.000424333,0.732293202
10.72713295,316.0188456,0.000423742,0.732716944
10.73830073,315.5784184,0.000423151,0.733140095
10.74946851,315.1386429,0.000422561,0.733562656
10.76063628,314.6995182,0.000421973,0.733984629
10.77180406,314.2610432,0.000421385,0.734406014
10.78297183,313.8232171,0.000420798,0.734826811
10.79413961,313.3860388,0.000420211,0.735247023
10.80530739,312.9495073,0.000419626,0.735666649
10.81647516,312.5136218,0.000419042,0.73608569
10.82764294,312.0783811,0.000418458,0.736504149
10.83881071,311.6437844,0.000417875,0.736922024
10.84997849,311.2098307,0.000417293,0.737339317
10.86114627,310.7765189,0.000416712,0.73775603
10.87231404,310.3438482,0.000416132,0.738172162
10.88348182,309.9118176,0.000415553,0.738587715
10.89464959,309.4804261,0.000414975,0.739002689
10.90581737,309.0496728,0.000414397,0.739417086
10.91698515,308.6195567,0.00041382,0.739830907
10.92815292,308.1900768,0.000413244,0.740244151
10.9393207,307.7612322,0.000412669,0.74065682
10.95048847,307.3330219,0.000412095,0.741068915
10.96165625,306.905445,0.000411522,0.741480437
10.97282403,306.4785005,0.000410949,0.741891386
10.9839918,306.0521875,0.000410378,0.742301764
10.99515958,305.626505,0.000409807,0.742711571
11.00632736,305.2014521,0.000409237,0.743120808
11.01749513,304.7770278,0.000408668,0.743529476
11.02866291,304.3532312,0.0004081,0.743937575
11.03983068,303.9300613,0.000407532,0.744345107
11.05099846,303.5075172,0.000406966,0.744752073
11.06216624,303.085598,0.0004064,0.745158473
11.07333401,302.6643027,0.000405835,0.745564308
11.08450179,302.2436304,0.000405271,0.745969579
11.09566956,301.8235801,0.000404708,0.746374286
11.10683734,301.404151,0.000404145,0.746778432
